t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
 7	0.9	pos	0.08414308	0.08254293	0.08616714	6.71090336	6.59498580	6.85711575	6.72066428	6.60002939	6.87387827	0.9399198	0.9277169	0.9527291	1.7381874	1.7066450	1.7676192
 8	0.0	neg	1.00242866	0.99116775	1.01420669	1.00124722	0.99140040	1.01329862	1.00100163	0.98672699	1.01902803	1.0018662	0.9942143	1.0104500	1.0010599	0.9940556	1.0089060
 8	0.0	pos	1.01467304	0.99407741	1.03310386	1.02771732	1.00504563	1.04925993	1.02935981	1.01084573	1.04717913	1.0064371	0.9964578	1.0165714	1.0144120	1.0070297	1.0233791
 8	0.3	neg	0.95939422	0.94138447	0.97592421	0.96031377	0.94501620	0.97642270	0.96139574	0.94842253	0.97736553	0.9997346	0.9905468	1.0089461	0.9987033	0.9892944	1.0071723
 8	0.3	pos	0.95666798	0.93948382	0.97886314	1.24369233	1.21646947	1.27514366	1.24518732	1.21681714	1.27889061	0.9895207	0.9807423	1.0022358	1.0350038	1.0244948	1.0506745
 8	0.6	neg	0.52859653	0.51953732	0.54087293	0.51101360	0.50104072	0.52214043	0.51052037	0.50071495	0.52045363	0.9906466	0.9780017	1.0011331	0.9903894	0.9793008	1.0016567
 8	0.6	pos	0.53069533	0.51920614	0.54141251	3.64586473	3.56910873	3.71390988	3.64015223	3.55703395	3.71258727	0.9776012	0.9673879	0.9875418	1.1713856	1.1581049	1.1880688
 8	0.9	neg	0.09310636	0.09192109	0.09425605	0.07378395	0.07203715	0.07565424	0.07369592	0.07245514	0.07522911	0.9587372	0.9531974	0.9657401	0.9590079	0.9512223	0.9683859
 8	0.9	pos	0.09309066	0.08925051	0.09552421	6.64202979	6.58236823	6.69594876	6.64369423	6.58041625	6.70659480	0.9600922	0.9393351	0.9735809	1.7183374	1.6956083	1.7368834
 9	0.0	neg	1.00018734	0.97925921	1.02298196	0.99997897	0.98244309	1.02033163	0.99920068	0.98096527	1.01799569	1.0001930	0.9905802	1.0093932	1.0010860	0.9923738	1.0103519
