t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
16	0.9	neg	0.05793813	0.05579877	0.05983855	0.07903498	0.07714498	0.08066568	0.958141707	0.937652449	0.05950678	0.03904406	-0.078061582	0.09994636	0.09768767	0.10208876	0.07356721	0.07179081	0.07538392	0.07352426	0.07161408	0.07531612	0.9608245	0.9476253	0.9724301	0.9602099	0.9471397	0.973811
16	0.9	pos	5.78989047	5.69402382	5.90491295	0.07832021	0.07684563	0.07979486	1.691985474	0.937652449	0.05950678	0.03904406	0.655782184	0.09875381	0.09725615	0.10011659	6.58669289	6.50599896	6.72186756	6.58804542	6.47527624	6.73093175	0.9504671	0.9378667	0.9631734	1.6930864	1.6802603	1.7045438
16	0.9	zero	0.68810101	0.66224789	0.72051472	0.08175938	0.07990342	0.08354077	1.03709273422601	0.937641333691259	0.0594807999830272	0.0392116574823149	0.000758943069403958	0.10315443	0.10079542	0.10596027	0.78987257	0.7545262	0.83049919	0.78803326	0.75015247	0.83066916	0.9671119	0.9583253	0.9753687	1.0441917	1.0330746	1.0557163
17	0	neg	0.78213281	0.77281655	0.79210346	0.78678106	0.77715457	0.79769184	0.99290302	0.938037994	0.059919598	0.00505801	-0.010112582	0.79887165	0.78432052	0.80988262	0.79261602	0.78102867	0.80499611	0.79227268	0.78227248	0.80270516	0.9906195	0.982024	0.9995852	0.9917924	0.9827904	1.0008279
17	0	pos	2.08416721	2.02045275	2.14823123	0.78591532	0.77674629	0.79684021	1.087969701	0.938037994	0.059919598	0.00505801	0.084954099	0.79884333	0.78844222	0.80986388	2.0944039	2.03244813	2.16243256	2.09242574	2.04352707	2.14191194	0.9841074	0.9777475	0.9930213	1.0821381	1.0712279	1.092574
17	0	zero	0.93307455	0.91106003	0.95443885	0.78812729	0.77434313	0.80021646	1.00315198749001	0.938038609517662	0.0599199488951284	0.00509481867482004	9.86104024005735e-05	0.79882165	0.7879071	0.80945401	0.94576276	0.91978409	0.97170318	0.94848055	0.92392468	0.97160758	0.9877514	0.9763792	0.9998742	0.9936458	0.9807741	1.0032391
17	0.9	neg	0.05818401	0.05658387	0.05954426	0.07748111	0.07558834	0.07921459	0.959715393	0.938037994	0.059919598	0.03826821	-0.076510409	0.09739578	0.09545786	0.09951772	0.07348488	0.07194023	0.07527423	0.07340921	0.07169036	0.07526886	0.9405937	0.9281981	0.948971	0.94181	0.9328371	0.9512389
17	0.9	pos	5.76807276	5.70174719	5.81718574	0.08099115	0.07997949	0.08230033	1.678976837	0.938037994	0.059919598	0.03826821	0.642751035	0.10179023	0.09996583	0.10368292	6.54916639	6.48583594	6.6129736	6.54242204	6.48305849	6.60016695	0.9632312	0.9563751	0.970805	1.6895317	1.6809465	1.6976603
17	0.9	zero	0.68607683	0.66592963	0.70258195	0.08075657	0.07934858	0.08271151	1.03711373274731	0.938027497513467	0.0598980789851105	0.0384440698658127	0.000744086382920675	0.10140759	0.09934751	0.10360791	0.78189049	0.76092163	0.8041439	0.78274745	0.76453708	0.80227221	0.955077	0.9477568	0.9627623	1.0273135	1.0193429	1.036817
18	0	neg	0.79940119	0.78715765	0.80978374	0.80246786	0.79203603	0.81552584	0.993849272	0.938410406	0.060154965	0.004719307	-0.009435405	0.81334736	0.80393896	0.82545501	0.81101643	0.79801423	0.82317497	0.81008175	0.79817417	0.82387316	0.989655	0.9800509	0.9997014	0.9892627	0.9782546	0.9999437
