t	P	cov	vg_zeros	vg_123	vg_zeros_noa	vg_zeros_gcta	var.pheno	vg_HEreg_new	vg_zero_adj	vg.term1	vg.term2	vg.term3	vg.term4	vg.sum	var.pheno.j
14	0.9	zero	0.079416971	0.954706179	0.669264669670994	0.519835	1.25831508785682	0.65411622369605	0.0794169709672095	0.936830367518954	0.05804263878363	0.0401661071066243	0.000777416476905071	1.03581652988611	1.28502127403663
15	0	zero	0.721793213	0.990341406	0.894052349447766	0.7262577	1.25267197597919	0.909762668129102	0.721793212703829	0.937249478605992	0.058891212090232	0.00584366846336383	0.000113104417536156	1.00209746357712	1.23186025523281
15	0.3	zero	0.585397924	0.987597852	0.896268619372859	0.7107455	1.26130892915449	0.896469645506373	0.585397924244462	0.937252797803896	0.0588960521630988	0.00858567125104235	0.000166175982106807	1.00490069720014	1.26027313048727
15	0.6	zero	0.321049823	0.980636452	0.77717197431292	0.6120428	1.29105695790154	0.790182115473541	0.321049822532804	0.93724807274885	0.0588854377748186	0.0155267572784526	0.000300520956863755	1.01196078875899	1.2675195210199
15	0.9	zero	0.079560834	0.956452708	0.664748716340744	0.514558	1.14580206001395	0.589581616396658	0.0795608338812319	0.93724422954223	0.0588718596514692	0.0397830297812016	0.000770002001214863	1.03666912097611	1.29030395217717
16	0	zero	0.775084794	0.991738224	0.935561828762496	0.7444285	1.16706904992548	0.86879946223245	0.775084793765489	0.937650237147133	0.0595037813678641	0.00547781925776384	0.000106023392737286	1.0027378611655	1.25806412821816
16	0.3	zero	0.611561553	0.989173844	0.856456972187833	0.6859997	1.16765275582944	0.801009440203169	0.611561552947987	0.937649167504266	0.0595013915268728	0.00801466390675369	0.000155124114005539	1.0053203470519	1.24886496169462
16	0.6	zero	0.343104713	0.982555098	0.784668068490063	0.6213362	1.20362107024775	0.74785334202767	0.34310471253266	0.937646275612672	0.0594949443564488	0.0146318471293292	0.000283199938089611	1.01205626703654	1.26185529897676
16	0.9	zero	0.081759771	0.958115169	0.688591604823604	0.5254612	1.22744055495025	0.644972386932824	0.0817597706675483	0.937641333691259	0.0594807999830272	0.0392116574823149	0.000758943069403958	1.03709273422601	1.30858556969427
17	0	zero	0.787113646	0.992899582	0.934105261136147	0.7481109	1.25980370621257	0.942472884478021	0.787113645754193	0.938038609517662	0.0599199488951284	0.00509481867482004	9.86104024005735e-05	1.00315198749001	1.25027685343344
17	0.3	zero	0.644905014	0.990504062	0.863046853257198	0.6908717	1.23556533203096	0.853617121401294	0.644905013504317	0.938035330816441	0.059916023108473	0.00747852930660425	0.000144747209146707	1.00557463044067	1.24998685192976
17	0.6	zero	0.364085571	0.984232427	0.756362811664803	0.6053011	1.27199259906747	0.769938519407399	0.364085570682568	0.938032356503386	0.0599105323593803	0.0137240365548823	0.000265629231109962	1.01193255464876	1.24938370576243
17	0.9	zero	0.080641228	0.959689382	0.684316931182238	0.5301029	1.27141178244275	0.673979072967071	0.0806412275667048	0.938027497513467	0.0598980789851105	0.0384440698658127	0.000744086382920675	1.03711373274731	1.29037700868646
18	0	zero	0.811618787	0.993846064	0.933668375698571	0.7458409	1.27381673835931	0.950064622572972	0.811618787088108	0.938410551557646	0.0601548697647092	0.00474147919916673	9.17715038838542e-05	1.00339867202541	1.25383539749058
18	0.3	zero	0.684413653	0.991609159	0.877174978065095	0.6963183	1.28644809759314	0.895777352354289	0.684413652945763	0.938406895635433	0.0601520523481687	0.00698233941011434	0.000135143435492938	1.00567643082921	1.26138523581557
18	0.6	zero	0.398916316	0.985682814	0.81169168688708	0.6396881	1.29801450309115	0.830324431254822	0.398916315713682	0.938405605045928	0.0601483333471532	0.0128967388547635	0.000249616853767275	1.01170029410161	1.26925110851006
18	0.9	zero	0.082442648	0.961172501	0.661383534077235	0.5123019	1.29588280790928	0.663883224669259	0.0824426482010213	0.938400500117716	0.0601376874120979	0.0375266098789382	0.000726328911209415	1.03679112631996	1.29057307425218
19	0	zero	0.836019001	0.994596723	0.946397529314632	0.7543317	1.29516155925651	0.976981420768614	0.836019000917621	0.938766996730928	0.0602296776251199	0.00442194386908517	8.55868858450866e-05	1.00350420511098	1.25800805190979
19	0.3	zero	0.699213862	0.992508481	0.8849664844939	0.7070272	1.32083692942318	0.933867635866669	0.699213862330525	0.938764117590178	0.0602282151365863	0.00651865340747386	0.000126168775897323	1.00563715491014	1.25446746248244
19	0.6	zero	0.429289059	0.986921014	0.780938548461795	0.6180392	1.24947559477308	0.772224897013079	0.429289058918334	0.938764975569021	0.0602250287241436	0.0120887852929168	0.00023397888293066	1.01131276846901	1.26418538272696
19	0.9	zero	0.085111226	0.962562823	0.675572090999882	0.5248891	1.30898684804337	0.687072928581321	0.0851112256645843	0.938761935767628	0.0602157836040174	0.0365134385033779	0.000706718942058104	1.03619787681708	1.28785573274048
20	0	zero	0.837950747	0.99516918	0.939064355607078	0.7556922	1.2752893963086	0.963726249533118	0.837950747391315	0.939117242647495	0.0601599703746985	0.00413286967414726	7.99918441947659e-05	1.00349007454054	1.24648474219173
20	0.3	zero	0.713140891	0.993220066	0.875334694507017	0.7056523	1.28922015154285	0.909741165142561	0.713140890538245	0.939111309526413	0.0601607680720266	0.00607581466586056	0.00011759761580386	1.0054654898801	1.24413466911119
20	0.6	zero	0.455100936	0.987961797	0.808985129172284	0.6395925	1.26554172351169	0.809430994795151	0.455100935979748	0.939111398578313	0.0601574484647879	0.0113215927059834	0.000219129842259177	1.01080956959134	1.2668969860086
20	0.9	zero	0.088857081	0.963859629	0.685602008672755	0.5284541	1.30102712174693	0.687533116698364	0.0888570812455072	0.93910835938896	0.0601487478054507	0.035527888751812	0.000687643590452754	1.03547263953668	1.29835850123678
